angle_cmd_deg,angle_actual_deg,freq_hz,re,im,mag_db,phase_deg
5.00,5.00,2850000000,3.689610316e-01,8.170905584e-01,-0.9487,65.6982
5.00,5.00,2860000000,6.416576196e-01,6.275276122e-01,-0.9393,44.3621
5.00,5.00,2870000000,8.255802413e-01,3.502112226e-01,-0.9462,22.9867
5.00,5.00,2880000000,8.942679669e-01,2.595263343e-02,-0.9670,1.6623
5.00,5.00,2890000000,8.405475623e-01,-2.982440452e-01,-0.9938,-19.5358
5.00,5.00,2900000000,6.756651229e-01,-5.797205213e-01,-1.0095,-40.6296
5.00,5.00,2910000000,4.223019260e-01,-7.844666181e-01,-1.0033,-61.7051
5.00,5.00,2920000000,1.109598176e-01,-8.864813337e-01,-0.9791,-82.8655
5.00,5.00,2930000000,-2.198607382e-01,-8.683548733e-01,-0.9562,-104.2083
5.00,5.00,2940000000,-5.224541234e-01,-7.281357120e-01,-0.9521,-125.6603
5.00,5.00,2950000000,-7.502301777e-01,-4.856909246e-01,-0.9759,-147.0814
5.00,5.00,2960000000,-8.711234929e-01,-1.796543629e-01,-1.0175,-168.3471
5.00,5.00,2970000000,-8.741586496e-01,1.449705051e-01,-1.0504,170.5838
5.00,5.00,2980000000,-7.636754485e-01,4.478391368e-01,-1.0582,149.6115
5.00,5.00,2990000000,-5.536327932e-01,6.939167775e-01,-1.0346,128.5842
5.00,5.00,3000000000,-2.660758730e-01,8.510828934e-01,-0.9956,107.3609
10.00,10.00,2000000000,2.998184851e-01,8.583285405e-01,-0.8269,70.7454
10.00,10.00,2010000000,5.898486426e-01,6.948485228e-01,-0.8054,49.6725
10.00,10.00,2020000000,8.044258258e-01,4.354901926e-01,-0.7740,28.4297
10.00,10.00,2030000000,9.097873964e-01,1.121652128e-01,-0.7557,7.0284
10.00,10.00,2040000000,8.871275327e-01,-2.278862755e-01,-0.7628,-14.4067
10.00,10.00,2050000000,7.413487445e-01,-5.334099013e-01,-0.7877,-35.7355
10.00,10.00,2060000000,4.969763892e-01,-7.629716574e-01,-0.8139,-56.9210
10.00,10.00,2070000000,1.887744929e-01,-8.896784966e-01,-0.8241,-78.0205
10.00,10.00,2080000000,-1.446008149e-01,-8.986876068e-01,-0.8168,-99.1407
10.00,10.00,2090000000,-4.609323877e-01,-7.869337890e-01,-0.8002,-120.3589
10.00,10.00,2100000000,-7.163650360e-01,-5.663108097e-01,-0.7889,-141.6724
10.00,10.00,2110000000,-8.731120248e-01,-2.666439257e-01,-0.7913,-163.0176
10.00,10.00,2120000000,-9.089625103e-01,6.862260717e-02,-0.8044,175.6826
10.00,10.00,2130000000,-8.210421370e-01,3.924382453e-01,-0.8191,154.4533
10.00,10.00,2140000000,-6.231416636e-01,6.619124719e-01,-0.8279,133.2719
10.00,10.00,2150000000,-3.417601562e-01,8.423059358e-01,-0.8287,112.0845
10.00,10.00,2160000000,-1.374943158e-02,9.091954082e-01,-0.8259,90.8664
10.00,10.00,2170000000,3.168092320e-01,8.525273497e-01,-0.8240,69.6143
10.00,10.00,2180000000,6.042319536e-01,6.794708952e-01,-0.8261,48.3543
10.00,10.00,2190000000,8.090108080e-01,4.141191157e-01,-0.8302,27.1071
10.00,10.00,2200000000,9.036551431e-01,9.292576556e-02,-0.8343,5.8713
10.00,10.00,2210000000,8.756924650e-01,-2.409225345e-01,-0.8361,-15.3828
10.00,10.00,2220000000,7.286493561e-01,-5.414688506e-01,-0.8401,-36.6165
10.00,10.00,2230000000,4.828172618e-01,-7.680580783e-01,-0.8459,-57.8457
10.00,10.00,2240000000,1.718176645e-01,-8.901914177e-01,-0.8515,-79.0756
10.00,10.00,2250000000,-1.614714589e-01,-8.916994338e-01,-0.8555,-100.2641
10.00,10.00,2260000000,-4.730972724e-01,-7.730246340e-01,-0.8545,-121.4670
10.00,10.00,2270000000,-7.213122209e-01,-5.495073353e-01,-0.8500,-142.6993
10.00,10.00,2280000000,-8.718282278e-01,-2.508410059e-01,-0.8460,-163.9485
10.00,10.00,2290000000,-9.030527087e-01,8.284623894e-02,-0.8493,174.7583
10.00,10.00,2300000000,-8.108447955e-01,4.043409737e-01,-0.8568,153.4961
10.00,10.00,2310000000,-6.088785105e-01,6.695906941e-01,-0.8667,132.2812
10.00,10.00,2320000000,-3.255670806e-01,8.436147620e-01,-0.8742,111.1026
10.00,10.00,2330000000,1.035342968e-03,9.046222335e-01,-0.8706,89.9344
10.00,10.00,2340000000,3.284720339e-01,8.437144082e-01,-0.8632,68.7282
10.00,10.00,2350000000,6.126721846e-01,6.677431157e-01,-0.8553,47.4628
10.00,10.00,2360000000,8.136698814e-01,3.996580094e-01,-0.8524,26.1593
10.00,10.00,2370000000,9.023816653e-01,7.712681126e-02,-0.8606,4.8852
10.00,10.00,2380000000,8.679386140e-01,-2.546970420e-01,-0.8715,-16.3544
10.00,10.00,2390000000,7.165113134e-01,-5.507792901e-01,-0.8791,-37.5493
10.00,10.00,2400000000,4.692405651e-01,-7.723888369e-01,-0.8790,-58.7205
10.00,10.00,2410000000,1.580218707e-01,-8.905456863e-01,-0.8722,-79.9379
10.00,10.00,2420000000,-1.757061336e-01,-8.879485245e-01,-0.8654,-101.1930
10.00,10.00,2430000000,-4.862200417e-01,-7.636599065e-01,-0.8641,-122.4848
10.00,10.00,2440000000,-7.298773128e-01,-5.344957664e-01,-0.8703,-143.7843
10.00,10.00,2450000000,-8.729345650e-01,-2.335785967e-01,-0.8800,-165.0198
10.00,10.00,2460000000,-8.973673618e-01,9.799752030e-02,-0.8891,173.7677
10.00,10.00,2470000000,-8.009568819e-01,4.156879299e-01,-0.8920,152.5712
10.00,10.00,2480000000,-5.966778179e-01,6.775462164e-01,-0.8879,131.3686
10.00,10.00,2490000000,-3.108230143e-01,8.480816450e-01,-0.8839,110.1280
10.00,10.00,2500000000,1.818999433e-02,9.033466065e-01,-0.8812,88.8464
10.00,10.00,2510000000,3.447304730e-01,8.349467819e-01,-0.8832,67.5654
10.00,10.00,2520000000,6.233522981e-01,6.525872208e-01,-0.8914,46.3126
10.00,10.00,2530000000,8.168914331e-01,3.818735096e-01,-0.8984,25.0548
10.00,10.00,2540000000,8.991684352e-01,6.016776884e-02,-0.9038,3.8282
10.00,10.00,2550000000,8.596883498e-01,-2.693414747e-01,-0.9065,-17.3958
10.00,10.00,2560000000,7.035366814e-01,-5.626878446e-01,-0.9067,-38.6528
10.00,10.00,2570000000,4.519183179e-01,-7.792076688e-01,-0.9077,-59.8875
10.00,10.00,2580000000,1.390854415e-01,-8.898726140e-01,-0.9086,-81.1166
10.00,10.00,2590000000,-1.922724576e-01,-8.796862775e-01,-0.9108,-102.3292
10.00,10.00,2600000000,-4.973712078e-01,-7.502007474e-01,-0.9142,-123.5437
10.00,10.00,2610000000,-7.342517665e-01,-5.199390964e-01,-0.9180,-144.6969
10.00,10.00,2620000000,-8.722367080e-01,-2.189633932e-01,-0.9219,-165.9079
10.00,10.00,2630000000,-8.920653723e-01,1.118654883e-01,-0.9243,172.8524
10.00,10.00,2640000000,-7.906709362e-01,4.270658307e-01,-0.9283,151.6251
10.00,10.00,2650000000,-5.821886345e-01,6.843493454e-01,-0.9298,130.3884
10.00,10.00,2660000000,-2.946669466e-01,8.485543530e-01,-0.9319,109.1499
10.00,10.00,2670000000,3.280149108e-02,8.974682794e-01,-0.9338,87.9068
10.00,10.00,2680000000,3.556944038e-01,8.247139037e-01,-0.9330,66.6697
10.00,10.00,2690000000,6.301887435e-01,6.395685039e-01,-0.9356,45.4232
10.00,10.00,2700000000,8.189333190e-01,3.675588404e-01,-0.9380,24.1718
10.00,10.00,2710000000,8.962157249e-01,4.588595841e-02,-0.9404,2.9310
10.00,10.00,2720000000,8.516379057e-01,-2.816640541e-01,-0.9441,-18.3007
10.00,10.00,2730000000,6.915550885e-01,-5.707981686e-01,-0.9471,-39.5357
10.00,10.00,2740000000,4.379399936e-01,-7.822539281e-01,-0.9490,-60.7580
10.00,10.00,2750000000,1.251900602e-01,-8.876829222e-01,-0.9493,-81.9725
10.00,10.00,2760000000,-2.047345664e-01,-8.729667827e-01,-0.9475,-103.1989
10.00,10.00,2770000000,-5.072831762e-01,-7.400199775e-01,-0.9422,-124.4306
10.00,10.00,2780000000,-7.415677460e-01,-5.057761343e-01,-0.9381,-145.7046
10.00,10.00,2790000000,-8.745067319e-01,-2.018484023e-01,-0.9393,-167.0029
10.00,10.00,2800000000,-8.874455260e-01,1.293667414e-01,-0.9458,171.7062
10.00,10.00,2810000000,-7.790553582e-01,4.415015848e-01,-0.9591,150.4592
10.00,10.00,2820000000,-5.660261670e-01,6.924621213e-01,-0.9697,129.2629
10.00,10.00,2830000000,-2.780190105e-01,8.498336394e-01,-0.9718,108.1153
10.00,10.00,2840000000,4.761778293e-02,8.936701522e-01,-0.9641,86.9500
10.00,10.00,2850000000,3.689454666e-01,8.171224090e-01,-0.9485,65.7000
10.00,10.00,2860000000,6.416122565e-01,6.275229105e-01,-0.9396,44.3640
10.00,10.00,2870000000,8.256162110e-01,3.501947860e-01,-0.9459,22.9848
10.00,10.00,2880000000,8.943042336e-01,2.592755795e-02,-0.9666,1.6606
10.00,10.00,2890000000,8.405265391e-01,-2.982656358e-01,-0.9939,-19.5375
10.00,10.00,2900000000,6.756541789e-01,-5.797453092e-01,-1.0094,-40.6313
10.00,10.00,2910000000,4.223123006e-01,-7.844846099e-01,-1.0031,-61.7050
10.00,10.00,2920000000,1.109348990e-01,-8.864717736e-01,-0.9792,-82.8670
10.00,10.00,2930000000,-2.198669134e-01,-8.683542278e-01,-0.9562,-104.2087
10.00,10.00,2940000000,-5.224485000e-01,-7.281076913e-01,-0.9523,-125.6611
10.00,10.00,2950000000,-7.502211585e-01,-4.856961235e-01,-0.9760,-147.0808
10.00,10.00,2960000000,-8.712071660e-01,-1.796641937e-01,-1.0167,-168.3476
10.00,10.00,2970000000,-8.742020286e-01,1.449911389e-01,-1.0499,170.5829
10.00,10.00,2980000000,-7.637392374e-01,4.478675225e-01,-1.0575,149.6120
10.00,10.00,2990000000,-5.536067934e-01,6.939469339e-01,-1.0345,128.5817
10.00,10.00,3000000000,-2.660754236e-01,8.511278182e-01,-0.9952,107.3600
15.00,15.00,2000000000,2.998024436e-01,8.582938532e-01,-0.8273,70.7457
15.00,15.00,2010000000,5.898533547e-01,6.948012608e-01,-0.8057,49.6703
15.00,15.00,2020000000,8.044181579e-01,4.355141641e-01,-0.7740,28.4312
15.00,15.00,2030000000,9.097964539e-01,1.121556747e-01,-0.7556,7.0277
15.00,15.00,2040000000,8.871088107e-01,-2.278627220e-01,-0.7630,-14.4056
15.00,15.00,2050000000,7.413221123e-01,-5.333916982e-01,-0.7880,-35.7355
15.00,15.00,2060000000,4.969887629e-01,-7.629556674e-01,-0.8139,-56.9198
15.00,15.00,2070000000,1.887993558e-01,-8.896591691e-01,-0.8242,-78.0187
15.00,15.00,2080000000,-1.446277888e-01,-8.987113157e-01,-0.8166,-99.1421
15.00,15.00,2090000000,-4.609186913e-01,-7.869214248e-01,-0.8004,-120.3585
15.00,15.00,2100000000,-7.163583788e-01,-5.662678551e-01,-0.7892,-141.6743
15.00,15.00,2110000000,-8.731045908e-01,-2.666287705e-01,-0.7915,-163.0184
15.00,15.00,2120000000,-9.089692261e-01,6.861237309e-02,-0.8043,175.6833
15.00,15.00,2130000000,-8.210608964e-01,3.924059662e-01,-0.8190,154.4557
15.00,15.00,2140000000,-6.231443320e-01,6.618985192e-01,-0.8280,133.2726
15.00,15.00,2150000000,-3.417357358e-01,8.423115869e-01,-0.8288,112.0830
